tc,tc_float,ev,ev_min,ev_max,n2,n3,n4,n5,n6,n7,n8,n9,n10,nA
0,0.6190476190476191,0.1935610175820645,0.1935608788437804,0.1936178977906718,18,19,21,16,20,20,20,21,78,19
7,7.932203389830509,8.050616785442317,8.050616766157003,8.05064580006296,6,3,3,3,5,2,2,6,25,4
0,0.8387096774193549,1.7698643672443797,1.769864203695108,1.769920981278529,6,5,3,4,5,3,7,5,18,6
0,-0.4976076555023923,-0.0993315036122885,-0.0993316856967048,-0.0992758745465734,15,16,15,16,19,14,16,19,63,16
2,2.139917695473251,0.7951779909454243,0.7951777721225773,0.7952472320362919,18,19,14,20,20,20,15,16,81,20
-13,-13.194029850746269,-6.205376934557937,-6.205377000000518,-6.205347028302064,11,5,4,6,8,7,4,5,16,1
0,0.4748858447488584,-0.134642248259508,-0.1346423667226828,-0.1345920925098947,18,18,15,20,14,16,14,17,72,15
-11,-11.142857142857142,-3.501671691204353,-3.5016781121143463,-3.501596953463609,4,6,5,6,1,3,0,4,10,3
-5,-5.777777777777778,-2.769461244005784,-2.769461538756134,-2.7693843904974607,4,5,5,5,4,5,3,6,14,3
2,2.46551724137931,1.0269587486200202,1.026958566581872,1.0270349203883211,15,17,18,16,17,18,19,18,74,20
0,0.1870503597122302,0.0543089727941076,0.0543088017091171,0.0543796474115748,23,22,19,20,21,21,23,23,85,21
-4,-4.16,-1.827887340381214,-1.827887883533976,-1.8278322265138125,4,8,6,6,6,8,7,6,18,6
9,9.176470588235292,14.4480571916105,14.4480571916105,14.448057191610506,0,0,1,1,4,0,2,0,7,2
-2,-2.0392156862745097,-1.276366147032017,-1.2763667189943153,-1.276294863994854,18,21,19,21,24,21,17,21,73,20
-2,-2.44043321299639,-1.420677113809078,-1.4206775475139022,-1.4205972760039052,24,22,21,22,22,23,23,22,78,20
5,5.2,3.139738025779262,3.1397379665717704,3.139769129304401,4,4,2,4,3,4,4,3,18,4
-3,-3.752577319587629,-1.56799887933526,-1.567999125904711,-1.5679215175750252,18,16,19,14,14,14,18,14,50,17
0,0.8353413654618475,0.18882750255768,0.1888273530967744,0.1888804886030923,19,19,19,18,19,19,19,19,80,18
1,1.2999999999999998,1.0885614056974722,1.0885610297536277,1.0886336485297023,7,7,9,4,5,6,5,3,26,8
2,2.3168316831683167,0.6232353079919235,0.6232351187800758,0.6233111743047154,16,14,13,16,15,18,16,11,66,17
2,2.0155038759689923,1.46276892502932,1.462768729811678,1.4628365855398755,12,13,8,10,6,8,10,8,42,12
1,1.0612244897959182,0.715165231498527,0.715165112406103,0.715201150556281,10,9,12,9,14,12,10,14,46,11
-6,-6.201834862385321,-2.8719141020899794,-2.871915128499058,-2.8718427668839217,12,12,11,11,4,8,5,9,28,9
-1,-1.3684210526315788,-1.2058203253996114,-1.2058208346085943,-1.2057847803955122,8,9,7,12,11,8,8,7,37,7
-6,-6.568421052631579,-2.761884909838057,-2.7618856956040063,-2.761786194920026,9,9,9,8,9,10,5,4,24,8
0,0.2905027932960893,-0.3047560942281466,-0.3047563175714319,-0.304706541908437,13,13,16,14,14,14,12,12,58,13
0,0.0,-0.1528552003547293,-0.1528553439453794,-0.1528071562690236,8,13,10,10,12,13,9,14,44,9
0,-0.7393364928909953,-0.3353661088532371,-0.335366297746814,-0.3353145819207501,20,21,14,14,17,15,15,12,69,14
0,0.5416666666666666,0.968923571142002,0.9689234298905164,0.9689537501246932,7,7,8,6,12,6,6,3,37,4
-1,-1.984732824427481,-1.2466902181160129,-1.2466907424478129,-1.246606399095804,22,21,20,22,22,19,20,19,77,20
0,0.0,-0.1780769774098307,-0.17807705685428,-0.1780271677082129,18,23,19,18,18,19,19,21,79,17
6,6.058252427184466,3.6049394485238175,3.604939299937494,3.604986680795304,5,5,8,8,9,6,8,7,36,11
2,2.8363636363636364,2.9250162595415863,2.9250161366175123,2.925040752696224,4,3,4,5,6,4,0,4,21,4
0,-0.3525423728813559,-0.6911780775460004,-0.6911783768444748,-0.6911211498316595,21,24,23,24,23,24,22,21,92,21
1,1.238095238095238,0.880810200247539,0.8808100811465065,0.880846511811599,13,13,14,11,14,11,10,13,58,11
0,-0.3611111111111111,-0.6513891289686464,-0.651389357159716,-0.6513264356057015,21,23,22,24,22,23,22,21,89,21
0,-0.4521739130434782,-0.8172757291335633,-0.8172760133929697,-0.8172174599377413,15,19,21,18,16,19,19,16,71,16
0,-0.9230769230769232,-0.8473566916558706,-0.8473573177024735,-0.8472814983357391,8,14,17,13,13,15,12,15,48,14
0,-0.9629629629629628,-1.0158274207052247,-1.0158279196832602,-1.0157730473471382,4,3,5,5,2,7,4,6,15,3
-1,-1.805555555555556,-1.1945826237726045,-1.1945829880633647,-1.1945034312097824,23,23,23,23,24,22,22,22,85,21
-1,-1.2807881773399017,-0.6945401991470397,-0.6945406511691651,-0.6944758240222448,15,14,19,15,19,15,14,15,58,19
0,-0.4244897959183673,-0.2990338557604688,-0.2990342696525493,-0.2989510513900444,19,19,20,20,18,17,17,21,74,20
-10,-10.4,-2.607209704507206,-2.607211867122494,-2.6071086288488856,15,9,8,15,12,8,8,10,23,12
0,-0.9219858156028368,-0.5459152780599593,-0.5459155366755093,-0.5458258680417114,23,23,22,19,24,22,22,21,84,22
0,0.3466666666666667,0.2953074917440592,0.2953072467893685,0.2953674941445456,16,9,14,12,6,10,12,13,47,11
-2,-2.0492610837438425,-1.6476453415535028,-1.6476465411242682,-1.6475537866637036,18,15,16,19,16,18,11,14,60,16
-1,-1.1711711711711712,-0.9114210019775532,-0.9114216925940184,-0.9113292339134296,15,17,17,21,17,18,16,19,63,19
2,2.736842105263158,1.5653531870056276,1.5653527988546745,1.5654152080547294,11,9,9,11,9,9,8,11,43,13
4,4.0,1.7510437409163515,1.7510435425759925,1.7510613593530542,3,2,1,6,1,3,4,3,13,3
0,0.3561643835616438,-0.0325906397991064,-0.0325908092071934,-0.0325204710522237,23,23,23,20,22,23,23,22,91,22
2,2.03921568627451,1.2609712533027289,1.2609710176013131,1.261010405093235,3,3,4,4,4,4,5,4,15,5
2,2.197183098591549,0.796276881461397,0.7962765851037403,0.7963373597660084,9,10,13,10,9,12,13,9,43,14
-1,-1.3333333333333333,1.7057409350039796,1.7057404516553551,1.7057654350278586,1,4,2,2,5,2,6,4,9,4
3,3.9,1.5499829361183717,1.5499823582061854,1.5500256986173684,3,4,5,11,4,4,11,5,25,8
1,1.1005291005291005,0.6827578934375083,0.6827577594009072,0.6828208104621695,13,15,12,16,14,12,14,19,59,15
1,1.5445544554455446,0.8421283769775374,0.8421282748782175,0.842162566175128,17,14,12,14,17,15,16,17,67,13
0,-0.1793103448275862,-0.3425576470123851,-0.3425579065032273,-0.3424743135452839,23,23,22,22,22,23,22,22,88,23
-2,-2.069651741293532,-0.9095938189709404,-0.9095944758924098,-0.9095041971880962,18,15,15,16,16,16,13,20,56,16
-2,-2.260869565217391,-1.9630197355807144,-1.9630201842808863,-1.962979377775777,8,12,9,12,7,9,8,7,37,6
-4,-4.30344827586207,-1.627042887274983,-1.6270433614548516,-1.626989256918503,13,12,9,12,12,12,12,17,36,10
1,1.368421052631579,3.3863080352146246,3.386308013370086,3.386324808628924,4,3,5,1,3,3,0,2,16,1
-4,-4.406779661016949,-0.4524931953565186,-0.4524939050003306,-0.4524436410170471,5,8,4,4,6,2,2,6,18,4
-3,-3.233160621761658,-2.330705017964907,-2.33070527736833,-2.3306570248457232,15,16,21,16,15,14,13,12,59,12
0,0.8210526315789474,0.4855054882147754,0.4855051444381426,0.4855937851271834,17,17,10,17,14,11,14,12,62,16
1,1.4647887323943662,0.1613241004658893,0.1613240185937436,0.1613600734530747,15,14,14,16,18,21,16,16,69,14
-1,-1.4181818181818182,-0.7549833030335308,-0.7549834314741638,-0.7549421661186215,10,9,8,9,8,8,8,9,34,7
-2,-2.116279069767442,-1.0821435894686091,-1.0821439028849065,-1.0820691432674636,16,15,13,14,11,12,16,13,50,12
0,0.3823529411764705,0.0439172947788301,0.0439171753314696,0.0439748738695862,21,21,20,21,21,20,19,23,86,20
-2,-2.6838709677419352,-1.6417184114483163,-1.6417186647785107,-1.6416746390359545,14,13,15,11,14,10,11,8,49,10
-5,-5.591397849462365,-2.514924230805889,-2.514924512208881,-2.5148691725400254,10,12,6,7,6,8,5,8,25,6
0,-0.7647058823529411,0.3860755361901182,0.3860740471054374,0.3861223612633295,4,2,8,7,5,3,5,9,19,6
4,4.0,2.6877733475673367,2.687773293029563,2.68780825400681,10,8,8,6,10,10,11,15,43,9
